movie_id,movie_rank,movie_title,movie_runtime,movie_year,movie_rating,movie_votes
tt1464763,397,. Mute,2h 6mTV-MA,2018,5.4,"37,545"
tt4964788,398,. Everybody Knows,2h 13mR,2018,6.9,"37,446"
tt8108202,399,. Stree,2h 8mNot Rated,2018,7.5,"37,422"
tt4669788,400,. On the Basis of Sex,2hPG-13,2018,7.1,"37,411"
tt5690360,401,. Slender Man,1h 33mPG-13,2018,3.2,"37,325"
tt4761916,402,. Unfriended: Dark Web,1h 32mR,2018,6.0,"37,277"
tt8633462,403,". Quo Vadis, Aida?",1h 41mApproved,2020,8.0,"37,184"
tt2639336,404,. Greta,1h 38mR,2018,6.0,"37,086"
tt5198068,405,. Wolfwalkers,1h 43mPG,2020,8.0,"37,073"
tt3907584,406,. All the Bright Places,1h 47mTV-MA,2020,6.6,"36,961"
tt7725596,407,. Badhaai Ho,2h 4mNot Rated,2018,7.9,"36,858"
tt1000300,408,. The Rental,1h 28mR,2020,5.7,"36,852"
tt7280898,409,. 22 July,2h 23mR,2018,6.8,"36,657"
tt1036246,410,. After We Collided,1h 45mR,2020,5.0,"36,645"
tt8850222,411,. Peninsula,1h 56mNot Rated,2020,5.5,"36,566"
tt4878482,412,. Dumplin',1h 50mPG-13,2018,6.5,"36,556"
tt7608028,413,. The Open House,1h 34mTV-MA,2018,3.3,"36,449"
tt6141246,414,. The Aeronauts,1h 40mPG-13,2019,6.6,"36,427"
tt1478839,415,. The Art of Racing in the Rain,1h 49mPG,2019,7.5,"36,418"
tt5867314,416,. The Empty Man,2h 17mR,2020,6.2,"36,312"
tt1072748,417,. Winchester,1h 39mPG-13,2018,5.4,"36,222"
tt9784456,418,. The Kissing Booth 2,2h 14mTV-14,2020,5.7,"36,105"
tt5523010,419,. The Nutcracker and the Four Realms,1h 39mPG,2018,5.6,"36,054"
tt1032414,420,. Article 15,2h 10mNot Rated,2019,8.1,"35,992"
tt6865690,421,. The Professor,1h 30mR,2018,6.7,"35,943"
tt9398640,422,. Between Two Ferns: The Movie,1h 22mTV-MA,2019,6.1,"35,911"
tt3256226,423,. IO,1h 36mTV-14,2019,4.8,"35,891"
tt5935704,424,. Padmaavat,2h 43mNot Rated,2018,7.0,"35,759"
