movie_id,rank,title,originalTitle,description,year,votes,rating,runtimeminutes,ratingCategory,genre1,genre2,genre3
tt3361792,344,Tolkien,Tolkien,"Tolkien's novels were inspired by his mom's storytelling, falling in love with another orphan, Edith, forming a brotherhood with 3 other misfits at school, Oxford, the trench war of WWI and later telling stories to his own kids.",2019,45204,6.8,112,PG-13,Biography,Drama,Romance
tt0805647,345,The Witches,The Witches,A young boy and his grandmother have a run-in with a coven of witches and their leader.,2020,45008,5.4,106,PG,Adventure,Comedy,Family
tt8522006,346,Happiest Season,Happiest Season,"A holiday romantic comedy that captures the range of emotions tied to wanting your family's acceptance, being true to yourself, and trying not to ruin Christmas.",2020,44982,6.6,102,PG-13,Comedy,Romance,
tt5774450,347,Summer of 84,Summer of 84,"After suspecting that their police officer neighbor is a serial killer, a group of teenage friends spend their summer spying on him and gathering evidence, but as they get closer to discovering the truth, things get dangerous.",2018,44765,6.7,105,Not Rated,Drama,Horror,Mystery
tt9354842,348,To All the Boys: P.S. I Still Love You,To All the Boys: P.S. I Still Love You,Lara Jean and Peter have just taken their relationship from pretend to officially official when another recipient of one of her old love letters enters the picture.,2020,44755,6.0,101,TV-14,Comedy,Drama,Romance
tt7557108,349,Saint Maud,Saint Maud,A pious nurse becomes dangerously obsessed with saving the soul of her dying patient.,2019,44613,6.7,84,R,Drama,Horror,Mystery
tt6476140,350,Serenity,Serenity,A fishing boat captain juggles facing his mysterious past and finding himself ensnared in a reality where nothing is what it seems.,2019,44045,5.4,106,R,Drama,Mystery,Thriller
tt1620981,351,The Addams Family,The Addams Family,"The eccentrically macabre family moves to a bland suburb where Wednesday Addams' friendship with the daughter of a hostile and conformist local reality show host exacerbates conflict between the families.",2019,44023,5.8,86,PG,Animation,Comedy,Family
tt9619798,352,The Wrong Missy,The Wrong Missy,"Tim thinks he's invited the woman of his dreams on a work retreat to Hawaii, realizing too late he mistakenly texted someone from a nightmare blind date.",2020,44009,5.7,90,TV-MA,Comedy,Romance,
tt1003934,353,Countdown,Episode #1.2911,"When a nurse downloads an app that claims to predict the moment a person will die, it tells her she only has three days to live. With the clock ticking and a figure haunting her, she must find a way to save her life before time runs out.",2019,43763,5.4,90,PG-13,Drama,Romance,
tt5918982,354,Possessor,Possessor,"An agent works for a secretive organization that uses brain-implant technology to inhabit other people's bodies - ultimately driving them to commit assassinations for high-paying clients.",2020,43653,6.5,103,R,Horror,Mystery,Sci-Fi
tt6803046,355,The Vast of Night,The Vast of Night,"One night in New Mexico, in the late 1950s, a switchboard operator and radio DJ discover a strange audio frequency which could change the future forever.",2019,43507,6.7,91,PG-13,Drama,Mystery,Sci-Fi
